"Name","Symbol","Date","High","Low","Open","Close","market_billion_usd","volume_billion_usd"
"Bitcoin","BTC",2017-08-08,35896.88214463,33489.21867158,33533.20067102,35510.28903716,661.11458166376,63.08858543312
"Bitcoin","BTC",2017-08-09,37480.18789413,35443.98272623,35510.82121346,37472.09010368,697.67291048843,61.16681815883
"Bitcoin","BTC",2017-08-10,38592.17637724,36317.49880728,37475.10402915,36926.06446515,687.54275252324,68.83807439161
"Bitcoin","BTC",2017-08-11,38225.90594551,36658.76353663,36931.54564785,38144.30686267,710.2667525338,58.59806640224
"Bitcoin","BTC",2017-08-12,40846.54690329,38138.38833975,38138.38833975,39266.01073494,731.19249009284,71.32603365298
"Bitcoin","BTC",2017-08-13,39621.8354917,37446.15388489,39250.1905137,38903.44147971,724.47883321111,65.50064114312
"Bitcoin","BTC",2017-08-14,46203.93143652,38076.32280719,38886.82728995,46196.46371944,860.3427062597,101.46722268667
"Bitcoin","BTC",2017-08-15,48003.72396182,45166.96004492,46184.99146609,46481.10423596,865.68295661892,91.80984688569
"Bitcoin","BTC",2017-08-16,47145.56819859,43881.1525986,46469.76120204,44918.18449192,836.61690752653,87.30108989644
"Bitcoin","BTC",2017-08-17,48463.46712511,44187.7623505,44898.71161149,47909.33119483,892.36485613599,81.38891180985
"Bitcoin","BTC",2017-08-18,48745.73380014,46424.97781781,47877.03437451,47504.85118326,884.87405061184,76.55504119579
"Bitcoin","BTC",2017-08-19,48047.74459107,46392.28233345,47491.20255503,47105.51747252,877.47889446366,70.25045615505
"Bitcoin","BTC",2017-08-20,49487.64087275,47114.50958649,47114.50958649,48717.2902111,907.55133015322,71.24867522822
"Bitcoin","BTC",2017-08-21,48875.57161074,46347.47709171,48696.53665993,47945.05683234,893.21008003898,77.06990316639
"Bitcoin","BTC",2017-08-22,50341.10325246,47201.30375472,47944.45800728,49199.87134362,916.62341825364,77.04958288551
"Bitcoin","BTC",2017-08-23,52533.91431173,49072.3771403,49207.27643233,52149.00753587,971.61162645428,80.82054540432
"Bitcoin","BTC",2017-08-24,52474.10724863,51015.76455379,52140.97271656,51679.79669449,962.91507802448,52.05472357867
"Bitcoin","BTC",2017-08-25,56113.65054685,50937.27572157,51675.98128513,55888.13368221,1041.38069666948,63.49549691785
"Bitcoin","BTC",2017-08-26,57505.22818745,54626.5597762,55887.33571358,56099.52051348,1045.37108764023,68.14546002592
"Bitcoin","BTC",2017-08-27,58330.57214185,55672.60951328,56068.56824551,57539.9436679,1072.26329472494,51.89758519058
"Bitcoin","BTC",2017-08-28,57533.38932549,48967.56518819,57532.73886407,54207.31906543,1010.20521298129,92.05242033157
"Bitcoin","BTC",2017-08-29,54204.92975578,45290.59026818,54204.92975578,48824.42686909,909.92585446021,106.10249282411
"Bitcoin","BTC",2017-08-30,51290.13669492,47213.49816173,48835.08766112,49705.33331637,926.39309075051,63.69552138834
"Bitcoin","BTC",2017-08-31,51948.96698227,47093.85301914,49709.08242476,47093.85301914,877.76612613833,54.50656594911
"Bitcoin","BTC",2017-09-01,48370.78525976,44454.84211387,47180.4640539,46339.76008289,863.75227505308,350.96794147906
